Area,Line,Date,TrapName,TrapChecked,Triggered,Set,Species,Sex,Age,PestID,Bait,Comments,SampleID,SampleCondition,Latitude,Longitude,TrapType,TimeTaken,Username,FirstName
Kaipupu,SWAT Traps,18-7-2014,SWAT Traps2,Y,N,Y,,,,,Egg,,,,-41.27442397978042,174.00309562683105,Havahart,Unspecified,admin@kaipupupoint.co.nz,Kaipupu Admin
Kaipupu,SWAT Traps,18-7-2014,SWAT Traps3,Y,Y,Y,Possum,,,PestID: 1259,Egg,,,,-41.27513758233738,174.00341749191284,Havahart,Unspecified,admin@kaipupupoint.co.nz,Kaipupu Admin
Kaipupu,SWAT Traps,7-8-2014,SWAT Traps2,Y,Y,Y,Possum,,,PestID: 1260,Egg,,,,-41.27442397978042,174.00309562683105,Havahart,Unspecified,admin@kaipupupoint.co.nz,Kaipupu Admin
Kaipupu,SWAT Traps,7-8-2014,SWAT Traps3,Y,N,Y,,,,,Egg,,,,-41.27513758233738,174.00341749191284,Havahart,Unspecified,admin@kaipupupoint.co.nz,Kaipupu Admin
Kaipupu,SWAT Traps,19-3-2015,SWAT Traps1,Y,Y,Y,Possum,F,,PestID: 2338,Peanut Butter& Erayz Block,near predator fence west side,,,-41.27877401204639,174.0048122406006,DOC200,Unspecified,Gerald,Gerald
Kaipupu,SWAT Traps,19-3-2015,SWAT Traps2,N,N,N,,,,,,,,,-41.27442397978042,174.00309562683105,Havahart,Unspecified,Gerald,Gerald
Kaipupu,SWAT Traps,19-3-2015,SWAT Traps3,N,N,N,,,,,,,,,-41.27513758233738,174.00341749191284,Havahart,Unspecified,Gerald,Gerald
Kaipupu,A Trap,11-9-2014,A01,Y,N,Y,,,,,Meat& Egg,,,,-41.275583,174.004994,JT Eaton,Unspecified,Vicki,Vicki
Kaipupu,A Trap,11-9-2014,A01B,Y,N,Y,,,,,Meat& Egg,,,,-41.275607,174.004819,JT Eaton,Unspecified,Vicki,Vicki
Kaipupu,A Trap,11-9-2014,A02,Y,N,Y,,,,,Meat& Egg,,,,-41.275581,174.004522,JT Eaton,Unspecified,Vicki,Vicki
Kaipupu,A Trap,11-9-2014,A02B,Y,N,Y,,,,,Meat& Egg,,,,-41.275523,174.004279,JT Eaton,Unspecified,Vicki,Vicki
Kaipupu,A Trap,11-9-2014,A03,Y,N,Y,,,,,Meat& Egg,,,,-41.275519,174.004028,JT Eaton,Unspecified,Vicki,Vicki
Kaipupu,A Trap,11-9-2014,A03B,Y,N,Y,,,,,Meat& Egg,,,,-41.275462,174.00383,JT Eaton,Unspecified,Vicki,Vicki
