Area,Line,Date,TrapName,TrapChecked,Triggered,Set,Species,Sex,Age,PestID,Bait,Comments,SampleID,SampleCondition,Latitude,Longitude,TrapType,TimeTaken,Username,FirstName
MEG Coro Kiwi Project,DAV,9-1-2015,DAV 000,Y,N,Y,,,,,Rabbit,,,,-36.74995012,175.5121266,DOC200SS,2 Hour(s) and 0 Minute(s),jw1,Jeff
MEG Coro Kiwi Project,DAV,9-1-2015,DAV 001,Y,N,Y,,,,,Rabbit,,,,-36.75031406,175.5139543,DOC200SS,2 Hour(s) and 0 Minute(s),jw1,Jeff
MEG Coro Kiwi Project,DAV,9-1-2015,DAV 002,Y,N,Y,,,,,Rabbit,,,,-36.75010007,175.5154254,DOC200SS,2 Hour(s) and 0 Minute(s),jw1,Jeff
MEG Coro Kiwi Project,DAV,9-1-2015,DAV 003,Y,N,Y,,,,,Rabbit,,,,-36.7499533,175.5171006,DOC200SS,2 Hour(s) and 0 Minute(s),jw1,Jeff
MEG Coro Kiwi Project,DAV,9-1-2015,DAV 004,Y,N,Y,,,,,Rabbit,,,,-36.74936833,175.5186371,DOC200SS,2 Hour(s) and 0 Minute(s),jw1,Jeff
MEG Coro Kiwi Project,DAV,9-1-2015,DAV 005,Y,N,Y,,,,,Rabbit,,,,-36.748233,175.5194032,DOC200SS,2 Hour(s) and 0 Minute(s),jw1,Jeff
MEG Coro Kiwi Project,DAV,9-1-2015,DAV 006,Y,N,Y,,,,,Rabbit,,,,-36.74682828,175.5201155,DOC200SS,2 Hour(s) and 0 Minute(s),jw1,Jeff
MEG Coro Kiwi Project,DAV,9-1-2015,DAV 007,Y,Y,Y,Rat,,,PestID: 1872,Rabbit,,,,-36.74538877,175.5215653,DOC200SS,2 Hour(s) and 0 Minute(s),jw1,Jeff
MEG Coro Kiwi Project,DAV,9-1-2015,DAV 008,Y,N,Y,,,,,Rabbit,,,,-36.74495434,175.5239921,DOC200SS,2 Hour(s) and 0 Minute(s),jw1,Jeff
MEG Coro Kiwi Project,DAV,9-1-2015,DAV 009,Y,Y,Y,Rat,,,PestID: 1873,Rabbit,,,,-36.74371767,175.5252363,DOC200SS,2 Hour(s) and 0 Minute(s),jw1,Jeff
MEG Coro Kiwi Project,DAV,9-1-2015,DAV 010,Y,N,Y,,,,,Rabbit,,,,-36.74195697,175.5253642,DOC200SS,2 Hour(s) and 0 Minute(s),jw1,Jeff
MEG Coro Kiwi Project,DAV,12-2-2015,DAV 000,Y,N,Y,,,,,Egg,,,,-36.74995012,175.5121266,DOC200SS,2 Hour(s) and 0 Minute(s),jw1,Jeff
MEG Coro Kiwi Project,DAV,12-2-2015,DAV 001,Y,Y,Y,Hedgehog,,,PestID: 1902,Egg,,,,-36.75031406,175.5139543,DOC200SS,2 Hour(s) and 0 Minute(s),jw1,Jeff
MEG Coro Kiwi Project,DAV,12-2-2015,DAV 002,Y,N,Y,,,,,Egg,,,,-36.75010007,175.5154254,DOC200SS,2 Hour(s) and 0 Minute(s),jw1,Jeff
MEG Coro Kiwi Project,DAV,12-2-2015,DAV 003,Y,Y,Y,Rat,,,PestID: 1903,Egg,,,,-36.7499533,175.5171006,DOC200SS,2 Hour(s) and 0 Minute(s),jw1,Jeff
MEG Coro Kiwi Project,DAV,12-2-2015,DAV 004,Y,N,Y,,,,,Egg,,,,-36.74936833,175.5186371,DOC200SS,2 Hour(s) and 0 Minute(s),jw1,Jeff
MEG Coro Kiwi Project,DAV,12-2-2015,DAV 005,Y,Y,Y,Rat,,,PestID: 1904,Egg,,,,-36.748233,175.5194032,DOC200SS,2 Hour(s) and 0 Minute(s),jw1,Jeff
MEG Coro Kiwi Project,DAV,12-2-2015,DAV 006,Y,N,Y,,,,,Egg,,,,-36.74682828,175.5201155,DOC200SS,2 Hour(s) and 0 Minute(s),jw1,Jeff
MEG Coro Kiwi Project,DAV,12-2-2015,DAV 007,Y,Y,Y,Stoat,,,PestID: 1905,Egg,,,,-36.74538877,175.5215653,DOC200SS,2 Hour(s) and 0 Minute(s),jw1,Jeff
MEG Coro Kiwi Project,DAV,12-2-2015,DAV 008,Y,N,Y,,,,,Egg,,,,-36.74495434,175.5239921,DOC200SS,2 Hour(s) and 0 Minute(s),jw1,Jeff
MEG Coro Kiwi Project,DAV,12-2-2015,DAV 009,Y,Y,Y,Rat,,,PestID: 1906,Egg,,,,-36.74371767,175.5252363,DOC200SS,2 Hour(s) and 0 Minute(s),jw1,Jeff
MEG Coro Kiwi Project,DAV,12-2-2015,DAV 010,Y,N,Y,,,,,Egg,,,,-36.74195697,175.5253642,DOC200SS,2 Hour(s) and 0 Minute(s),jw1,Jeff
MEG Coro Kiwi Project,DAV,30-1-2011,DAV 000,Y,N,Y,,,,,Rabbit,,,,-36.74995012,175.5121266,DOC200SS,Unspecified,Li1,Lisa
MEG Coro Kiwi Project,DAV,30-1-2011,DAV 001,Y,N,Y,,,,,Rabbit,,,,-36.75031406,175.5139543,DOC200SS,Unspecified,Li1,Lisa
